"화병";"die Wutkrankheit";"Eine kulturell spezifische psychische Erkrankung in Korea. Sie entsteht durch aufgestauten Stress oder unterdrückte Emotionen und manifestiert sich häufig in körperlichen Symptomen wie Brustschmerzen, Atemnot oder Kopfschmerzen.";"gesundheit"
"왕진";"der Hausbesuch";;"gesundheit"
"투여";"die Dosis / Verabreichung";;"gesundheit"
"양로원";"das Altersheim";;"gesundheit";"leben"
"요양원";"das Pflegeheim";;"gesundheit";"leben"
"감다";"anlegen";"z.B. 붕대를 감다 = Verband anlegen";"gesundheit";"kleidung"
"붕대";"der Verband";;"gesundheit"
"온찜질";"die warme Kompresse";;"gesundheit"
"냉찜질";"die kalte Kompresse";;"gesundheit"
"충치";"der Karies";;"gesundheit"
"열이 심하다";"hohes Fieber haben";;"gesundheit"
"몸살";"die Erschöpfung / Abgeschlagenheit";"Bei Krankheit";"gesundheit"
"멀미";"die Übelkeit";;"gesundheit"
"고무장갑";"die Gummihandschuhe";;"gesundheit"
"의원";"die Arztpraxis";"Für eine (kleine) private Praxis. Für grösse Praxen 병원";"gesundheit"
"질병";"die Krankheit";;"gesundheit"
"다래끼";"das Gerstenkorn (Auge)";;"gesundheit"
"멀쩡하다";"unversehrt / ganz sein";;"abstrakt";"gesundheit"
"뾰루지";"der Ausschlag";;"gesundheit"
"건망증";"die Vergesslichkeit";;"gesundheit";"lernen"
"암";"der Krebs";"Die Krankheit, nicht das Tier";"gesundheit"
"폐암";"der Lungenkrebs";;"gesundheit"
"흡연하다";"(Tabak) rauchen ";;"gesundheit"
"문병";"der Krankenbesuch";;"gesundheit";"sozial"
"대기오염";"die Luftverschmutzung";;"gesundheit";"stadt"
"독감";"die Grippe";;"gesundheit"
"물리다";"gestochen / gebissen werden";;"gesundheit"
"연고";"die Salbe";;"gesundheit"
"산부인과";"die Gynäkologie";;"gesundheit"
"안과";"die Augenheilkunde";;"gesundheit"
"한의학";"die traditionelle Koreanische Medizin";;"gesundheit"
"치과";"die Zahnmedizin";;"gesundheit"
"성형외과";"die plastische Chirurgie";;"gesundheit"
"주사";"die Spritze / Injektion";;"gesundheit"
"징조";"das Anzeichen";;"gesundheit"
"전염병";"die Infektionskrankheit";;"gesundheit"
"병문안하다";"einen Krankenbesuch machen";;"gesundheit"
"목이 쉬다";"die Stimme schonen";;"gesundheit"
"목욕시키다";"jmd. baden";;"gesundheit"
"손수건";"das Taschentuch";;"gesundheit"
"담배를 끊다";"mit dem Rauchen aufhören";;"gesundheit"
"처방전";"die Verschreibung";;"gesundheit"
"비위생적이다";"unhygienisch sein";;"gesundheit"
"아찔하다";"schwindelig sein";;"gesundheit"
"출산하다";"ein Kind gebären";;"gesundheit";"kinder"
"출산";"die Geburt";;"gesundheit";"leben"
"예방하다";"vorbeugen";;"gesundheit"
"재채기";"das Niesen";;"gesundheit"
"회복하다";"sich erholen / gesund werden";;"gesundheit"
"퇴원하다";"aus dem Krankenhaus entlassen werden";;"gesundheit"
"입원하다";"ins Krankenhaus aufgenommen werden";;"gesundheit"
"노약자";"alte oder schwache Menschen";;"gesundheit"
"심리학";"die Psychologie";;"gesundheit";"wissenschaft"
"건강에 좋다";"gut für die Gesundheit sein";;"gesundheit";"sport"
"온천";"das Spa";;"gesundheit"
"콧물이 나다";"Rotz laufen";;"gesundheit"
"코가 막히다";"verstopfte Nase haben";;"gesundheit"
"콧물이 흘리다";"Schnupfen haben";;"gesundheit"
"편찮으시다";"krank sein (honorativ)";;"gesundheit";"honorativ"
"환자";"die Patient:in";;"gesundheit"
"걸리다";"einfangen";;"gesundheit"
"심하다";"schlimm sein";;"gesundheit";"modal"
"증상";"das Symptom";;"gesundheit"
